,GUID,type,Manufacturer,Category,Family,Material,Roughness,ArticleNumber,Leveringsprogramma,Omschrijving,Artikelnummer,Afmetingen,System Type,System Abbreviation,Type,Afmeting,Buis type,Lengte,Afmetingen [mm],System Name,InvertElevation,Systeemtype,Systeemnaam,Binnendiameter,Kanaaltype,Diameter,Verbindingstype,Debiet
Pset_ManufacturerTypeInformation,1y8PcUpIX9sAPHe7Yqj3Nt,IfcBuildingElementProxy,n.t.b.,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ProductRequirements,1iRnjW8x96TOkxG85_UwNs,IfcBuildingElementProxy,,Duct Accessories,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ProductRequirements,1iRnjW8x96TOkxG85_UwRW,IfcBuildingElementProxy,,Duct Accessories,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,1tHGVEGln5YR3a_F2JdesC,IfcBuildingElementProxy,n.t.b.,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,1l$kDBjsP5EhEiHfaY2CCF,IfcBuildingElementProxy,n.t.b.,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,1U1SYwMkH1U98wWHxrdhbl,IfcBuildingElementProxy,n.t.b.,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,37WUPJwdb3Z9ScxQNBYVf7,IfcBuildingElementProxy,n.t.b.,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,1tHGVEGln5YR3a_F2JdeiG,IfcBuildingElementProxy,n.t.b.,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,31nAlRRgf8yf4O4e8F3DEe,IfcBuildingElementProxy,n.t.b.,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,39xH8hzxnEVQQlAcyKUxD6,IfcBuildingElementProxy,n.t.b.,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,1U1SYwMkH1U98wWHxrdhho,IfcBuildingElementProxy,n.t.b.,,,,,,,,,,,,,,,,,,,,,,,,,
